id,substation_id,name,type,longitude,latitude,string,order,distance,subassembly,upstream_cable
S04T05,OSS1,S04T05,turbine,-100.366066,32.328423,4,5,0,3.5MW_lbw.yaml,lbw_array.yaml
S04T06,OSS1,S04T06,turbine,-100.361893,32.327972,4,6,0,3.5MW_lbw.yaml,lbw_array.yaml
S04T07,OSS1,S04T07,turbine,-100.359406,32.327785,4,7,0,3.5MW_lbw.yaml,lbw_array.yaml
S04T08,OSS1,S04T08,turbine,-100.356812,32.327587,4,8,0,3.5MW_lbw.yaml,lbw_array.yaml
S04T09,OSS1,S04T09,turbine,-100.354225,32.327385,4,9,0,3.5MW_lbw.yaml,lbw_array.yaml
S04T10,OSS1,S04T10,turbine,-100.350998,32.327129,4,10,0,3.5MW_lbw.yaml,lbw_array.yaml
S05T00,OSS1,S05T00,turbine,-100.378525,32.319187,5,0,0,3.5MW_lbw.yaml,lbw_array.yaml
S05T01,OSS1,S05T01,turbine,-100.37571,32.318211,5,1,0,3.5MW_lbw.yaml,lbw_array.yaml
S05T02,OSS1,S05T02,turbine,-100.372902,32.318054,5,2,0,3.5MW_lbw.yaml,lbw_array.yaml
S05T03,OSS1,S05T03,turbine,-100.370102,32.317898,5,3,0,3.5MW_lbw.yaml,lbw_array.yaml
S05T04,OSS1,S05T04,turbine,-100.367317,32.317577,5,4,0,3.5MW_lbw.yaml,lbw_array.yaml
S05T05,OSS1,S05T05,turbine,-100.364494,32.317589,5,5,0,3.5MW_lbw.yaml,lbw_array.yaml
S05T06,OSS1,S05T06,turbine,-100.361725,32.317608,5,6,0,3.5MW_lbw.yaml,lbw_array.yaml
S05T07,OSS1,S05T07,turbine,-100.358627,32.317268,5,7,0,3.5MW_lbw.yaml,lbw_array.yaml
S05T08,OSS1,S05T08,turbine,-100.356087,32.31712,5,8,0,3.5MW_lbw.yaml,lbw_array.yaml
S05T09,OSS1,S05T09,turbine,-100.353554,32.316978,5,9,0,3.5MW_lbw.yaml,lbw_array.yaml
S05T10,OSS1,S05T10,turbine,-100.350479,32.316811,5,10,0,3.5MW_lbw.yaml,lbw_array.yaml
S06T00,OSS1,S06T00,turbine,-100.374229,32.308487,6,0,0,3.5MW_lbw.yaml,lbw_array.yaml
S06T01,OSS1,S06T01,turbine,-100.371788,32.308304,6,1,0,3.5MW_lbw.yaml,lbw_array.yaml
S06T02,OSS1,S06T02,turbine,-100.369331,32.308113,6,2,0,3.5MW_lbw.yaml,lbw_array.yaml
S06T03,OSS1,S06T03,turbine,-100.366882,32.30793,6,3,0,3.5MW_lbw.yaml,lbw_array.yaml
S06T04,OSS1,S06T04,turbine,-100.364433,32.307743,6,4,0,3.5MW_lbw.yaml,lbw_array.yaml
S06T05,OSS1,S06T05,turbine,-100.361984,32.30756,6,5,0,3.5MW_lbw.yaml,lbw_array.yaml
S06T06,OSS1,S06T06,turbine,-100.359207,32.308258,6,6,0,3.5MW_lbw.yaml,lbw_array.yaml
S06T07,OSS1,S06T07,turbine,-100.356659,32.308064,6,7,0,3.5MW_lbw.yaml,lbw_array.yaml
S06T08,OSS1,S06T08,turbine,-100.354027,32.307865,6,8,0,3.5MW_lbw.yaml,lbw_array.yaml
